,city,state,20th_x,40th_x,Median_x,60th_x,80th_x,95th_x,Unnamed: 0.1,20th_y,40th_y,Median_y,60th_y,80th_y,95th_y,20th % of Median,40th % of Median,60th % of Median,80th % of Median,95th % of Median,murders,murdersper100k,rapes,rapesper100k,robberies,robberiesper100k,assaults,assaultsper100k,burglaries,burglariesper100k,thefts,theftsper100k,autothefts,autotheftsper100k,arson,arsonper100k,crime index,income inequality
12,Orange,California,32202.0,61353.0,78145.0,97221.0,154161.0,250001.0,111,34950,62802,79192,94617,147380,250001,0.44133245782402253,0.7930346499646429,1.1947797757349228,1.8610465703606425,3.1568971613294265,4.0,2.8,12.0,8.5,64.0,45.3,138.0,97.8,489.0,346.5,1754.0,1242.8,341.0,241.6,19.0,13.5,138.9,217799.0
13,Riverside,California,24572.0,45691.0,57972.0,72172.0,112688.0,194454.0,116,24205,46769,58979,72907,110644,191524,0.4104003119754489,0.7929771613625188,1.236151850658709,1.8759897590667864,3.2473253191814035,12.0,3.7,166.0,50.6,544.0,165.8,947.0,288.7,1673.0,510.0,6629.0,2020.9,1730.0,527.4,73.0,22.3,314.0,169882.0
14,Sacramento,California,23265.0,45228.0,57509.0,72126.0,113734.0,197963.0,118,20085,40406,52071,65805,104727,185908,0.3857233392867431,0.7759789518157901,1.2637552572449156,2.0112346603675757,3.570279042077164,39.0,7.8,99.0,19.8,1100.0,220.0,2140.0,428.0,2888.0,577.6,9077.0,1815.4,2718.0,543.6,209.0,41.8,339.6,174698.0
15,Boulder,Colorado,28368.0,55378.0,72282.0,91056.0,148663.0,250001.0,127,19371,45530,60569,80375,141093,250001,0.3198170681371659,0.7517046674041176,1.3269989598639569,2.329458964156582,4.127540491010253,0.0,0.0,52.0,47.6,30.0,27.5,176.0,161.2,559.0,512.0,2497.0,2286.9,219.0,200.6,19.0,17.4,221.9,221633.0
16,Broomfield,Colorado,37950.0,68619.0,83334.0,99072.0,147913.0,250001.0,129,37950,68619,83334,99072,147913,250001,0.4553963568291454,0.8234214126286991,1.1888544891640866,1.7749418004655964,2.9999880000959998,1.0,1.5,23.0,33.7,7.0,10.3,53.0,77.8,197.0,289.0,1400.0,2054.1,193.0,283.2,9.0,13.2,173.6,212051.0
17,Denver,Colorado,22775.0,44387.0,56258.0,72013.0,118994.0,233118.0,131,22775,44387,56258,72013,118994,233118,0.404831312879946,0.7889900103096449,1.2800490596892886,2.115148067830353,4.1437306694159055,59.0,8.3,699.0,98.9,1232.0,174.4,2784.0,394.0,4331.0,612.9,16021.0,2267.3,5560.0,786.8,129.0,18.3,423.5,210343.0
18,Montrose,Colorado,19758.0,34999.0,43890.0,54594.0,83122.0,129362.0,144,18543,32697,41547,52497,81596,127547,0.4463138132717164,0.7869882301971262,1.26355693551881,1.9639444484559656,3.0699448817002435,1.0,5.2,7.0,36.2,4.0,20.7,32.0,165.4,132.0,682.3,735.0,3799.2,79.0,408.4,2.0,10.3,311.0,109604.0
19,Pueblo,Colorado,17578.0,33753.0,42000.0,53274.0,84700.0,140939.0,146,15074,28140,35770,44947,73370,129839,0.4214145932345541,0.786692759295499,1.2565557729941292,2.051160190103438,3.6298294660329886,10.0,9.0,199.0,179.5,219.0,197.5,739.0,666.5,1376.0,1241.1,4234.0,3818.8,1228.0,1107.6,50.0,45.1,682.4,123361.0
20,Decatur,Georgia,10796.0,23970.0,33514.0,44259.0,74797.0,136257.0,186,22504,60054,81598,113129,178056,250001,0.2757910733106204,0.7359739209294346,1.3864187847741367,2.182112306674183,3.063812838549965,0.0,0.0,2.0,8.6,27.0,115.5,11.0,47.1,63.0,269.5,441.0,1886.4,27.0,115.5,1.0,4.3,154.5,125461.0
21,Gooding,Idaho,20698.0,33455.0,40704.0,51750.0,78038.0,135803.0,212,13667,22344,27055,35186,61230,114582,0.5051561633709111,0.8258732212160413,1.3005359452966179,2.263167621511736,4.235150619109222,0.0,0.0,1.0,28.7,1.0,28.7,12.0,344.7,13.0,373.5,13.0,373.5,3.0,86.2,0.0,0.0,148.5,115105.0
22,Jerome,Idaho,20942.0,35632.0,44447.0,52642.0,76564.0,126703.0,216,19321,29168,38196,47361,63053,104926,0.5058383076761964,0.7636401717457325,1.2399465912661012,1.6507749502565714,2.7470415750340353,0.0,0.0,8.0,70.3,4.0,35.1,15.0,131.8,60.0,527.2,172.0,1511.4,18.0,158.2,2.0,17.6,203.2,105761.0
23,Payette,Idaho,18978.0,35596.0,45670.0,53745.0,86687.0,139577.0,225,17860,34873,45047,53961,76642,119563,0.3964747929939841,0.7741470020201123,1.197882211912003,1.7013785601704885,2.654183408440073,0.0,0.0,2.0,27.0,0.0,0.0,16.0,216.1,24.0,324.1,108.0,1458.5,12.0,162.1,4.0,54.0,158.8,120599.0
24,Champaign,Illinois,17013.0,36778.0,48899.0,61787.0,100725.0,186288.0,240,14838,34533,45198,58389,98963,205009,0.32828886233904153,0.7640382317801673,1.291849196867118,2.1895437851232358,4.535798044161246,5.0,5.7,83.0,94.8,109.0,124.5,437.0,499.2,446.0,509.5,2054.0,2346.3,123.0,140.5,10.0,11.4,365.2,169275.0
25,DeKalb,Illinois,22037.0,42274.0,56076.0,68221.0,105657.0,166432.0,242,13357,31092,38647,52328,89153,151752,0.3456154423370507,0.8045126400496805,1.3539990167412737,2.3068543483323416,3.926617848733408,1.0,2.3,40.0,92.9,30.0,69.7,118.0,274.1,156.0,362.4,1130.0,2625.3,37.0,86.0,7.0,16.3,292.0,144395.0
26,Peoria,Illinois,21394.0,40732.0,51632.0,65138.0,102067.0,181543.0,250,17541,35250,46547,60109,98043,192867,0.3768449094463661,0.7572990740541818,1.2913614196403636,2.1063226416310394,4.143489376329302,12.0,10.5,65.0,56.9,281.0,246.2,509.0,445.9,1119.0,980.2,3357.0,2940.7,334.0,292.6,44.0,38.5,439.2,160149.0
27,Elkhart,Indiana,22520.0,41037.0,49692.0,59712.0,88102.0,147791.0,261,15842,28376,35555,43176,66571,115477,0.4455632119251863,0.7980874701167205,1.2143439741245956,1.8723386302910985,3.247841372521445,5.0,9.6,,,71.0,135.7,471.0,900.1,334.0,638.3,1314.0,2511.0,189.0,361.2,,,471.9,125271.0
28,Franklin,Indiana,22942.0,41381.0,52128.0,65078.0,94483.0,150823.0,264,25306,44442,53207,63737,99565,152063,0.4756141109252542,0.8352660364237788,1.1979062905256828,1.8712763358204747,2.8579510214821364,0.0,0.0,8.0,31.9,7.0,27.9,112.0,446.9,76.0,303.3,755.0,3012.8,20.0,79.8,0.0,0.0,271.4,127881.0
29,Lawrence,Indiana,21097.0,37097.0,46044.0,57355.0,86496.0,135859.0,274,21603,39482,48650,61534,98887,158200,0.44404933196300106,0.811551901336074,1.2648304213771842,2.0326207605344297,3.25179856115108,3.0,7.3,3.0,7.3,114.0,276.5,20.0,48.5,222.0,538.4,674.0,1634.7,167.0,405.0,0.0,0.0,248.5,114762.0
30,Marion,Indiana,18209.0,34571.0,43369.0,54326.0,88300.0,158193.0,276,15780,26006,31588,37461,61747,104616,0.4995567937191338,0.8232873243003672,1.1859250348233503,1.9547613017601624,3.3118905913638086,0.0,0.0,10.0,35.2,32.0,112.7,55.0,193.8,152.0,535.5,821.0,2892.4,84.0,295.9,6.0,21.1,277.6,139984.0
31,Boone,Iowa,24658.0,43837.0,54513.0,65959.0,97761.0,154906.0,291,23201,36889,48135,58032,80538,145680,0.4819985457567258,0.7663654305598837,1.2056092240573388,1.6731692115923964,3.0264880024929885,0.0,0.0,1.0,7.9,1.0,7.9,62.0,491.8,43.0,341.1,104.0,824.9,14.0,111.0,0.0,0.0,172.8,130248.0
32,Carroll,Iowa,22212.0,39984.0,53785.0,66558.0,94252.0,159097.0,293,20298,32993,45170,61932,89709,155125,0.4493690502545938,0.7304184193048483,1.3710870046491035,1.9860305512508305,3.434248394952402,0.0,0.0,0.0,0.0,1.0,10.1,1.0,10.1,53.0,534.3,103.0,1038.3,12.0,121.0,2.0,20.2,93.6,136885.0
33,Clinton,Iowa,20925.0,39340.0,50067.0,62325.0,96640.0,150635.0,294,18604,33991,42497,55442,87984,140723,0.4377720780290373,0.7998446949196414,1.304609737157917,2.070357907617008,3.3113631550462386,0.0,0.0,32.0,125.3,21.0,82.2,242.0,947.8,277.0,1084.9,874.0,3423.2,104.0,407.3,11.0,43.1,560.0,129710.0
